period,rent,rent_adj
2022 Q3,"$2,208 ","$2,208 "
2022 Q2,"$2,278 ","$2,305 "
2022 Q1,"$2,185 ","$2,260 "
2021 Q4,"$2,191 ","$2,317 "
2021 Q3,"$2,189 ","$2,360 "
2021 Q2,"$2,192 ","$2,401 "
2021 Q1,"$1,977 ","$2,209 "
2020 Q4,"$1,912 ","$2,157 "
2020 Q3,"$1,911 ","$2,169 "
2020 Q2,"$1,943 ","$2,231 "
2020 Q1,"$1,892 ","$2,154 "
2019 Q4,"$1,861 ","$2,126 "
2019 Q3,"$1,880 ","$2,160 "
2019 Q2,"$1,912 ","$2,205 "
2019 Q1,"$1,905 ","$2,215 "
2018 Q4,"$1,869 ","$2,178 "
2018 Q3,"$1,882 ","$2,201 "
2018 Q2,"$1,927 ","$2,263 "
2018 Q1,"$1,843 ","$2,177 "
2017 Q4,"$1,840 ","$2,191 "
2017 Q3,"$1,848 ","$2,219 "
2017 Q2,"$1,846 ","$2,226 "
2017 Q1,"$1,836 ","$2,217 "
2016 Q4,"$1,775 ","$2,158 "
2016 Q3,"$1,789 ","$2,189 "
2016 Q2,"$1,834 ","$2,254 "
2016 Q1,"$1,779 ","$2,203 "
2015 Q4,"$1,731 ","$2,143 "
2015 Q3,"$1,717 ","$2,125 "
2015 Q2,"$1,704 ","$2,117 "
2015 Q1,"$1,694 ","$2,119 "
2014 Q4,"$1,678 ","$2,086 "
2014 Q3,"$1,673 ","$2,075 "
2014 Q2,"$1,663 ","$2,067 "
2014 Q1,"$1,658 ","$2,072 "
2013 Q4,"$1,651 ","$2,075 "
2013 Q3,"$1,644 ","$2,075 "
2013 Q2,"$1,635 ","$2,074 "
2013 Q1,"$1,623 ","$2,057 "
2012 Q4,"$1,612 ","$2,052 "
2012 Q3,"$1,607 ","$2,059 "
2012 Q2,"$1,604 ","$2,064 "
2012 Q1,"$1,598 ","$2,061 "
