locality,volume
NA,307
Accomack,1
Albemarle,4
Alexandria City,3
Alleghany,0
Amelia,19
Amherst,1
Appomattox,2
Arlington,5
Augusta,1
Bath,0
Bedford,3
Bedford City,0
Bland,0
Botetourt,0
Bristol,1
Bristol City,0
Brunswick,3
Buchanan,0
Buckingham,1
Buena Vista City,0
Campbell,0
Caroline,30
Carroll,1
Charles City,15
Charlotte,6
Charlottesville City,6
Chesapeake City,19
Chesterfield,2174
Clarke,0
Clifton Forge City,0
Colonial Heights City,136
Covington City,0
Craig,0
Culpeper,2
Cumberland,5
Danville City,2
Dickenson,0
Dinwiddie,34
El Paso,1
Emporia City,1
Essex,12
Fairfax,16
Fairfax City,2
Falls Church City,0
Fauquier,5
Floyd,0
Fluvanna,2
Franklin,2
Franklin City,4
Frederick,1
Fredericksburg City,12
Galax City,2
Giles,0
Gloucester,5
Goochland,39
Grayson,0
Greene,2
Greensville,18
Halifax,4
Hampton City,11
Hanover,441
Harrisonburg City,4
Henrico,3947
Henry,1
Highland,0
Hopewell City,144
Isle Of Wight,3
James City,10
King And Queen,7
King George,1
King William,17
Lancaster,4
Lee,0
Lexington City,1
Loudoun,5
Louisa,9
Lunenburg,5
Lynchburg City,2
Madison,0
Manassas City,6
Manassas Park City,0
Martinsville City,1
Mathews,5
Mecklenburg,6
Middlesex,3
Montgomery,2
Nelson,2
New Kent,42
Newport News City,33
Norfolk City,18
Northampton,1
Northumberland,0
Norton City,0
Nottoway,13
Orange,6
Page,1
Patrick,2
Petersburg City,456
Pittsylvania,0
Poquoson City,0
Portsmouth City,9
Powhatan,34
Prince Edward,17
Prince George,63
Prince William,22
Pulaski,1
Radford,1
Rappahannock,0
Richmond,3
Richmond City,6278
Roanoke,1
Roanoke City,9
Rockbridge,2
Rockingham,0
Russell,0
Saint Joseph,1
Salem,1
Scott,0
Shenandoah,2
Smyth,0
Southampton,1
Spotsylvania,21
Stafford,6
Staunton City,4
Suffolk City,9
Surry,9
Sussex,14
Tazewell,0
Virginia Beach City,11
Warren,2
Washington,1
Waynesboro City,4
Westmoreland,3
Williamsburg City,0
Winchester City,6
Wise,0
Wythe,2
York,3
