Park Name,County,Environment,Typology,Units,Lot Rent
Cedar Ridge Mobile Home Park,Caroline,Rural,Rural Enclave,63,
Glen Meadows,Caroline,Rural,Traditional Suburban,58,
Lakeshore Mobile Home Park,Caroline,Rural,Rural Enclave,38,
Tidewater Mobile Home Park,Caroline,Rural,Obsolete,26,
Woodford Estates MHC,Caroline,Rural,Rural Enclave,65,
Bellwood Mobile Home Park,Chesterfield,Suburban,Traditional Suburban,41,
Carneal's Trailer Park,Chesterfield,Suburban,Obsolete,24,
Conner Homes ,Chesterfield,Suburban,Obsolete,54,
El Rancho Trailer Court,Chesterfield,Suburban,Ethnic Enclave,55,
Falling Creek Mobile Home Park,Chesterfield,Suburban,Obsolete,35,
Greenleigh Mobile Home Park ,Chesterfield,Suburban,Top Performer,502,
Harbour East Village,Chesterfield,Suburban,Top Performer,260,$409 
Holiday Mobile Home Park ,Chesterfield,Suburban,Top Performer,133,
Parkway Trailer Court,Chesterfield,Suburban,Ethnic Enclave,28,
Plantation Mobile Homes,Chesterfield,Suburban,Ethnic Enclave,48,
Ponderosa Mobile Home Park ,Chesterfield,Suburban,Traditional Suburban,27,
Shady Hill Mobile Home Park ,Chesterfield,Suburban,Obsolete,110,
Suburban Mobile Village ,Chesterfield,Suburban,Ethnic Enclave,226,$428 
Green Acres Mobile Home Community,Dinwiddie,Rural,Transitional,181,$359 
Harrison's Rental Homes,Dinwiddie,Rural,Obsolete,58,
Jones Mobile Home Park,Dinwiddie,Rural,Obsolete,40,
Somerset Mobile Home Park,Dinwiddie,Rural,Rural Enclave,21,
Trinity Mobile Home Park,Dinwiddie,Rural,Traditional Suburban,24,
Jenkins Mobile Homes,Goochland,Rural,Rural Enclave,41,
Marsh Drive,Goochland,Rural,Transitional,24,
Colonial Estates,Hanover,Suburban,Top Performer,115,$390 
Kosmo Village ,Hanover,Suburban,Traditional Suburban,92,
Palm Leaf Mobile Home Park,Hanover,Suburban,Traditional Suburban,43,
Sedgefield Manufactured Home,Hanover,Suburban,Top Performer,247,
Forest Meadow Mobile Home Park ,Henrico,Suburban,Top Performer,230,$459 
Hales Trailer Park,Hopewell,Urban,Ethnic Enclave,21,
Tuckers Recreation Park,King and Queen,Rural,Rural Enclave,70,
Buckner Mobile Home Park,Louisa,Rural,Obsolete,12,
Larry Lamb Mobile Home Park,Louisa,Rural,Rural Enclave,12,
Mineral Trailer Park,Louisa,Rural,Rural Enclave,34,
Six-O-Five Village,Louisa,Rural,Obsolete,104,
Putze's Trailer Park,New Kent,Rural,Obsolete,11,
Rockahock Park,New Kent,Rural,Rural Enclave,26,
Blue & Gray Mobile Home Park,Petersburg,Urban,Obsolete,21,
Ford's Mobile Home Rentals,Petersburg,Urban,Traditional Suburban,22,
Shady Grove Mobile Home Park,Petersburg,Urban,Traditional Suburban,60,$300 
Spring Gardens Mobile Home Park,Petersburg,Urban,Obsolete,80,
Sunset Mobile Home Park,Petersburg,Urban,Obsolete,50,
Bexley Mobile Home Community,Prince George,Rural,Transitional,162,
Country Aire Mobile Home Park,Prince George,Rural,Rural Enclave,214,
Oak Shades Mobile Home Park,Prince George,Rural,Rural Enclave,60,$360 
Pine Ridge MHC,Prince George,Rural,Top Performer,245,
Red Hill Mobile Home Park,Prince George,Rural,Rural Enclave,150,
Fitzgerald Mobile Homes Court,Richmond,Urban,Ethnic Enclave,52,
Mobile-Towne Trailer Park ,Richmond,Urban,Ethnic Enclave,107,
Oak View Mobile Home Park,Richmond,Urban,Ethnic Enclave,26,
Rudd's Trailer Park,Richmond,Urban,Obsolete,98,
Tom Ford's Trailer Park,Richmond,Urban,Ethnic Enclave,93,
Worsham Trailer Park ,Richmond,Urban,Ethnic Enclave,96,
