Year,Richmond City,Chesterfield County,Henrico County,Hanover County,Goochland County,New Kent County,Powhatan County,Charles City County
2012,167000,189000,188585,226743,300450,224000,224950,145000
2013,189000,204925,203000,245000,341000,225000,239950,115850
2014,199950,213557,214000,246000,350000,238340,229975,130000
2015,200000,224000,219000,255000,398039,264500,260500,126550
2016,219988,230000,225000,260000,406000,257500,268000,126000
2017,230000,248631,237000,278623,410000,263341,289700,163725
2018,237000,259000,252000,290000,424950,277500,295000,185000
2019,254000,269000,264000,308000,393950,285000,309950,209000
2020,289900,289900,279950,330950,422795,320000,340000,222500
2021,319015,330000,310000,365000,459073,350000,384148,244975
2022,345000,373000,341000,420000,532850,375350,434000,265000
