locality,date,payments,spent
Hanover County,7/1/2020,3,2629.5
Henrico County,7/1/2020,21,40285.9
Richmond,7/1/2020,68,117986.02
Goochland County,7/1/2020,0,0
Charles City County,7/1/2020,0,0
New Kent County,7/1/2020,0,0
Powhatan County,7/1/2020,0,0
Hanover County,8/1/2020,6,18635.96
Henrico County,8/1/2020,44,100411.04
Richmond,8/1/2020,121,229635.89
Goochland County,8/1/2020,1,2550
Charles City County,8/1/2020,0,0
New Kent County,8/1/2020,0,0
Powhatan County,8/1/2020,0,0
Hanover County,9/1/2020,16,47497.61
Henrico County,9/1/2020,62,192220
Richmond,9/1/2020,265,725764.17
Goochland County,9/1/2020,0,0
Charles City County,9/1/2020,0,0
New Kent County,9/1/2020,1,8677.97
Powhatan County,9/1/2020,0,0
Hanover County,10/1/2020,8,25979.06
Henrico County,10/1/2020,111,398654.14
Richmond,10/1/2020,325,1029604.96
Goochland County,10/1/2020,1,2400
Charles City County,10/1/2020,0,0
New Kent County,10/1/2020,0,0
Powhatan County,10/1/2020,0,0
Hanover County,11/1/2020,23,74499.05
Henrico County,11/1/2020,173,734932.56
Richmond,11/1/2020,353,1310791.39
Goochland County,11/1/2020,0,0
Charles City County,11/1/2020,0,0
New Kent County,11/1/2020,1,3350
Powhatan County,11/1/2020,0,0
Hanover County,12/1/2020,29,85127.8
Henrico County,12/1/2020,341,1284416.67
Richmond,12/1/2020,546,1759279.53
Goochland County,12/1/2020,0,0
Charles City County,12/1/2020,2,5423.88
New Kent County,12/1/2020,1,4900
Powhatan County,12/1/2020,2,9218
Hanover County,1/1/2021,13,55392.3
Henrico County,1/1/2021,250,706805.01
Richmond,1/1/2021,406,1122272.45
Goochland County,1/1/2021,1,3300
Charles City County,1/1/2021,0,0
New Kent County,1/1/2021,1,4250
Powhatan County,1/1/2021,2,3748.3
Hanover County,2/1/2021,29,148217.19
Henrico County,2/1/2021,359,1615877.23
Richmond,2/1/2021,481,1855311.69
Goochland County,2/1/2021,0,0
Charles City County,2/1/2021,0,0
New Kent County,2/1/2021,3,14578.5
Powhatan County,2/1/2021,1,1810
Hanover County,3/1/2021,48,324593.14
Henrico County,3/1/2021,461,2650156.41
Richmond,3/1/2021,655,3231216.26
Goochland County,3/1/2021,2,11620
Charles City County,3/1/2021,0,0
New Kent County,3/1/2021,2,13275
Powhatan County,3/1/2021,3,23412.39
Hanover County,4/1/2021,46,301773.22
Henrico County,4/1/2021,422,2387524.49
Richmond,4/1/2021,831,4413691.85
Goochland County,4/1/2021,4,34575
Charles City County,4/1/2021,2,14755
New Kent County,4/1/2021,7,50487
Powhatan County,4/1/2021,2,15255
Hanover County,5/1/2021,32,170004.41
Henrico County,5/1/2021,431,2209038.6
Richmond,5/1/2021,782,3985555.78
Goochland County,5/1/2021,1,2550
Charles City County,5/1/2021,0,0
New Kent County,5/1/2021,1,3450
Powhatan County,5/1/2021,5,22229.92
Hanover County,6/1/2021,37,193361.47
Henrico County,6/1/2021,523,2769401.84
Richmond,6/1/2021,1078,5439309.36
Goochland County,6/1/2021,1,3240.73
Charles City County,6/1/2021,1,1890
New Kent County,6/1/2021,3,29663.36
Powhatan County,6/1/2021,3,12600
Hanover County,7/1/2021,27,126013.92
Henrico County,7/1/2021,570,3035081.11
Richmond,7/1/2021,1189,5288512.76
Goochland County,7/1/2021,1,7300
Charles City County,7/1/2021,0,0
New Kent County,7/1/2021,3,28188.5
Powhatan County,7/1/2021,3,26200
Hanover County,8/1/2021,33,167547.4
Henrico County,8/1/2021,539,2642790.11
Richmond,8/1/2021,1212,5185607.98
Goochland County,8/1/2021,1,10800
Charles City County,8/1/2021,1,2700
New Kent County,8/1/2021,3,27125
Powhatan County,8/1/2021,2,5406
Hanover County,9/1/2021,44,228621.47
Henrico County,9/1/2021,665,3157733.61
Richmond,9/1/2021,1492,6335371.64
Goochland County,9/1/2021,0,0
Charles City County,9/1/2021,2,29160
New Kent County,9/1/2021,1,4265
Powhatan County,9/1/2021,3,31513.6
Hanover County,10/1/2021,46,301861.15
Henrico County,10/1/2021,697,3426806.65
Richmond,10/1/2021,1352,5713085.47
Goochland County,10/1/2021,1,17035
Charles City County,10/1/2021,0,0
New Kent County,10/1/2021,2,9150
Powhatan County,10/1/2021,2,21241
Hanover County,11/1/2021,47,222665.27
Henrico County,11/1/2021,648,3128902.02
Richmond,11/1/2021,1157,4523465.78
Goochland County,11/1/2021,1,12312.84
Charles City County,11/1/2021,2,11550
New Kent County,11/1/2021,1,8460
Powhatan County,11/1/2021,7,53067
Hanover County,12/1/2021,61,302294.16
Henrico County,12/1/2021,961,5002277.57
Richmond,12/1/2021,1746,8190990.35
Goochland County,12/1/2021,3,25173.96
Charles City County,12/1/2021,3,25125
New Kent County,12/1/2021,2,18380
Powhatan County,12/1/2021,2,10596
Hanover County,1/1/2022,28,159331.86
Henrico County,1/1/2022,520,2854917.02
Richmond,1/1/2022,807,4192631.95
Goochland County,1/1/2022,1,12840
Charles City County,1/1/2022,1,15120
New Kent County,1/1/2022,4,35230
Powhatan County,1/1/2022,3,33888.84
Hanover County,2/1/2022,47,237704
Henrico County,2/1/2022,485,2609660.65
Richmond,2/1/2022,576,3159373.52
Goochland County,2/1/2022,2,49300
Charles City County,2/1/2022,0,0
New Kent County,2/1/2022,3,23635
Powhatan County,2/1/2022,3,32160
Hanover County,3/1/2022,26,138841.81
Henrico County,3/1/2022,532,2502748.72
Richmond,3/1/2022,509,2243221.96
Goochland County,3/1/2022,0,0
Charles City County,3/1/2022,0,0
New Kent County,3/1/2022,1,3349.5
Powhatan County,3/1/2022,3,25382
Hanover County,4/1/2022,25,126054.59
Henrico County,4/1/2022,696,3167263.56
Richmond,4/1/2022,430,1873306.56
Goochland County,4/1/2022,2,12500
Charles City County,4/1/2022,0,0
New Kent County,4/1/2022,0,0
Powhatan County,4/1/2022,2,30211.47
Hanover County,5/1/2022,65,370697.47
Henrico County,5/1/2022,1527,8171340.3
Richmond,5/1/2022,1360,6568415.944
Goochland County,5/1/2022,4,73655
Charles City County,5/1/2022,2,6560
New Kent County,5/1/2022,8,58063
Powhatan County,5/1/2022,5,38953
Hanover County,6/1/2022,54,329177.91
Henrico County,6/1/2022,1253,6707265.19
Richmond,6/1/2022,1204,6152834.426
Goochland County,6/1/2022,1,18900
Charles City County,6/1/2022,2,4478
New Kent County,6/1/2022,3,28130
Powhatan County,6/1/2022,3,18937.5
